"count","time","lineColor","label"
"126","50","","50"
"127","4800","#AF0B0B","4800"
"128","300","#076969","300"
"129","10000","#AF550B","10000"
"130","3850","#098C09","3850"
"131","1000","#AF0B0B","1000"
"132","300","#076969","300"
"133","10000","#AF550B","10000"
"134","3850","#098C09","3850"
"135","1000","#AF0B0B","1000"
"136","300","#076969","300"
"137","10000","#AF550B","10000"
"138","3850","#098C09","3850"
"139","1000","#AF0B0B","1000"
"140","300","#076969","300"
"141","10000","#AF550B","10000"
"142","3800","#098C09","3800"
"143","1000","#AF0B0B","1000"
"144","300","#076969","300"
"145","10000","#AF550B","10000"
"146","3850","#098C09","3850"
"147","1050","#AF0B0B","1050"
"148","250","#076969","250"
"149","10000","#AF550B","10000"
"150","3850","#098C09","3850"
"151","1000","#AF0B0B","1000"
"152","300","#076969","300"
"153","4050","#AF550B","4050"
