"count","time","lineColor","label"
"154","50","","50"
"155","4850","#AF0B0B","4850"
"156","300","#076969","300"
"157","10000","#AF550B","10000"
"158","3800","#098C09","3800"
"159","1050","#AF0B0B","1050"
"160","300","#076969","300"
"161","10000","#AF550B","10000"
"162","3850","#098C09","3850"
"163","1000","#AF0B0B","1000"
"164","300","#076969","300"
"165","10000","#AF550B","10000"
"166","3800","#098C09","3800"
"167","1050","#AF0B0B","1050"
"168","300","#076969","300"
"169","10000","#AF550B","10000"
"170","3800","#098C09","3800"
"171","1050","#AF0B0B","1050"
"172","300","#076969","300"
"173","10000","#AF550B","10000"
"174","3800","#098C09","3800"
"175","1050","#AF0B0B","1050"
"176","300","#076969","300"
"177","10000","#AF550B","10000"
"178","3850","#098C09","3850"
"179","1000","#AF0B0B","1000"
"180","300","#076969","300"
"181","3950","#AF550B","3950"
