"count","time","lineColor","label"
"182","50","","50"
"183","1300","#AF0B0B","1300"
"184","10000","#076969","10000"
"185","3800","#AF550B","3800"
"186","1000","#098C09","1000"
"187","300","#AF0B0B","300"
"188","10000","#076969","10000"
"189","3850","#AF550B","3850"
"190","1000","#098C09","1000"
"191","300","#AF0B0B","300"
"192","10000","#076969","10000"
"193","3800","#AF550B","3800"
"194","1050","#098C09","1050"
"195","250","#AF0B0B","250"
"196","10000","#076969","10000"
"197","3850","#AF550B","3850"
"198","1000","#098C09","1000"
"199","300","#AF0B0B","300"
"200","10000","#076969","10000"
"201","3800","#AF550B","3800"
"202","1050","#098C09","1050"
"203","250","#AF0B0B","250"
"204","10000","#076969","10000"
"205","3850","#AF550B","3850"
"206","1000","#098C09","1000"
"207","300","#AF0B0B","300"
"208","7950","#076969","7950"
