"count","time","lineColor","label"
"100","50","","50"
"101","10250","#AF0B0B","10250"
"102","3950","#076969","3950"
"103","1000","#AF550B","1000"
"104","300","#098C09","300"
"105","10000","#AF0B0B","10000"
"106","3900","#076969","3900"
"107","1000","#AF550B","1000"
"108","300","#098C09","300"
"109","10050","#AF0B0B","10050"
"110","3900","#076969","3900"
"111","1000","#AF550B","1000"
"112","300","#098C09","300"
"113","10000","#AF0B0B","10000"
"114","3850","#076969","3850"
"115","1050","#AF550B","1050"
"116","250","#098C09","250"
"117","10000","#AF0B0B","10000"
"118","3900","#076969","3900"
"119","1000","#AF550B","1000"
"120","300","#098C09","300"
"121","10000","#AF0B0B","10000"
"122","3850","#076969","3850"
"123","1000","#AF550B","1000"
"124","300","#098C09","300"
"125","8550","#AF0B0B","8550"
