"count","time","lineColor","label"
"209","50","","50"
"210","1300","#AF0B0B","1300"
"211","9900","#076969","9900"
"212","3950","#AF550B","3950"
"213","1000","#098C09","1000"
"214","300","#AF0B0B","300"
"215","10000","#076969","10000"
"216","3800","#AF550B","3800"
"217","1000","#098C09","1000"
"218","300","#AF0B0B","300"
"219","10000","#076969","10000"
"220","3800","#AF550B","3800"
"221","1050","#098C09","1050"
"222","250","#AF0B0B","250"
"223","10000","#076969","10000"
"224","3800","#AF550B","3800"
"225","1050","#098C09","1050"
"226","300","#AF0B0B","300"
"227","10000","#076969","10000"
"228","3800","#AF550B","3800"
"229","1050","#098C09","1050"
"230","300","#AF0B0B","300"
"231","10000","#076969","10000"
"232","3800","#AF550B","3800"
"233","1000","#098C09","1000"
"234","300","#AF0B0B","300"
"235","7950","#076969","7950"
